City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
268,Acajutla,SV,81.19,overcast clouds,13.5928,-89.8275,Hotel Lara
269,Lagunas,PE,88.83,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
270,Imbituba,BR,78.85,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
275,Jungapeo,MX,68.81,broken clouds,19.45,-100.4833,Xungapety
276,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
277,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
280,Doha,QA,79.11,clear sky,25.2867,51.5333,Al MIrqab
283,Da Nang,VN,76.98,broken clouds,16.0678,108.2208,Thanh Thanh Hotel
287,Palembang,ID,78.89,scattered clouds,-2.9167,104.7458,OYO 183 The Pipe House
288,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Port Wine Guest House
290,Hithadhoo,MV,81.7,broken clouds,-0.6,73.0833,Pebbles Inn
296,Caravelas,BR,83.8,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
307,Hirara,JP,73.53,overcast clouds,24.8,125.2833,古謝そば屋
308,Port Blair,IN,84.24,mist,11.6667,92.75,Andaman Ocean Breeze
309,Mount Isa,AU,74.97,light rain,-20.7333,139.5,Ibis Styles
315,Madras,IN,82.38,mist,13.0878,80.2785,Blue Star International
316,Ilo,PE,72.46,clear sky,-17.6394,-71.3375,Hostal Central
319,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
325,Inirida,CO,86.14,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
328,Faanui,PF,78.91,light rain,-16.4833,-151.75,Oa Oa Lodge
330,Grand Gaube,MU,77.4,scattered clouds,-20.0064,57.6608,Coco Villa
332,Darnah,LY,67.64,few clouds,32.767,22.6367,فندق الفردوس
338,Inhambane,MZ,77.22,broken clouds,-23.865,35.3833,Hotel de Inhambane
340,Itaituba,BR,87.96,broken clouds,-4.2761,-55.9836,TG Hotel
342,Jijiga,ET,70.16,scattered clouds,9.35,42.8,Africa Hotel
345,Yulara,AU,78.24,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
355,Sambava,MG,77.79,few clouds,-14.2667,50.1667,Royal Sava Hôtel
362,Robertsport,LR,83.23,overcast clouds,6.7533,-11.3686,Nana's Lodge
366,Mitsamiouli,KM,84.49,few clouds,-11.3847,43.2844,Hotel le Paradis
367,Sinnamary,GF,82.99,overcast clouds,5.3833,-52.95,Hôtel du fleuve
371,Sao Miguel Do Araguaia,BR,85.51,overcast clouds,-13.275,-50.1628,Hotel São Miguel
388,Karachi,PK,69.62,haze,24.9056,67.0822,Quetta Agha Hotel
401,Tartus,SY,66.81,few clouds,34.889,35.8866,شاهين القديم
403,Tomatlan,MX,76.44,few clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
409,Boa Vista,BR,84.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
410,San Luis,AR,77.54,scattered clouds,-33.295,-66.3356,Hotel Dos Venados
412,Buta,CD,75.74,light rain,2.7858,24.73,Hôtel Rubi
413,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,Hotel del Valle
417,Pangai,TO,79.09,light rain,-19.8,-174.35,Billy's Place
422,Rocha,UY,82.83,overcast clouds,-34.4833,-54.3333,Hotel Municipal
428,Kupang,ID,79.32,overcast clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
433,Luanda,AO,81.41,few clouds,-8.8368,13.2343,Hotel Forum
436,Coquimbo,CL,65.93,overcast clouds,-29.9533,-71.3436,Hotel Iberia
438,Bubaque,GW,81.46,scattered clouds,11.2833,-15.8333,Chez Julio
441,Fare,PF,79.09,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
442,Yeppoon,AU,65.98,few clouds,-23.1333,150.7333,Blossom's on Seaspray
446,Porto Santo,PT,68.38,scattered clouds,33.072,-16.3415,Praia Dourada
450,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Central Hôtel
452,Tamandare,BR,83.79,scattered clouds,-8.7597,-35.1047,Pousada Baia dos Corais
459,Pathein,MM,77.49,few clouds,16.7833,94.7333,Taan Taan Ta
466,Basco,PH,78.17,overcast clouds,20.4487,121.9702,Tawsen Hotel
467,Sharjah,AE,82.38,clear sky,25.3573,55.4033,shakeel bhai room
472,Namatanai,PG,79.41,overcast clouds,-3.6667,152.4333,Namatanai Hotel
477,Whyalla,AU,66.58,clear sky,-33.0333,137.5833,Whyalla Playford Apartments
479,Kavieng,PG,81.91,broken clouds,-2.5744,150.7967,Kavieng Hotel
484,Noumea,NC,82.0,overcast clouds,-22.2763,166.4572,Hotel Gondwana
487,Dwarka,IN,76.39,clear sky,22.2394,68.9678,The Dwarika Hotel
497,Namibe,AO,73.87,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
500,Itaporanga,BR,87.12,broken clouds,-7.3044,-38.1503,Hotel Rainha do Vale
503,Sibolga,ID,75.96,overcast clouds,1.7427,98.7792,Hotel Prima Indah
506,Muisne,EC,75.54,overcast clouds,0.6,-80.0333,Hostal Té de Menta
512,Mabaruma,GY,85.48,broken clouds,8.2,-59.7833,Monty Brooms Hotel
513,Maumere,ID,79.92,overcast clouds,-8.6199,122.2111,Bogor
514,Meulaboh,ID,75.94,overcast clouds,4.1363,96.1285,Hotel Meuligou
516,Pochutla,MX,82.81,scattered clouds,15.7432,-96.4661,Hotel El Patio
518,Taitung,TW,72.45,overcast clouds,22.7583,121.1444,瑞軒民宿
519,Chipata,ZM,72.48,light rain,-13.6333,32.65,Kamocho Gueshouse
523,Broken Hill,AU,66.29,clear sky,-31.95,141.4333,Ibis Styles
527,Sabang,ID,81.21,overcast clouds,5.8933,95.3214,Sabang Hill
530,Touros,BR,85.42,broken clouds,-5.1989,-35.4608,Pousada Atlântico
534,Norton,ZW,76.28,clear sky,-17.8833,30.7,Village Pakare Paye
537,Bosaso,SO,79.09,scattered clouds,11.2842,49.1816,Bosaso hotel
540,Plettenberg Bay,ZA,69.89,broken clouds,-34.0527,23.3716,Milkwood Manor
546,The Valley,AI,82.54,scattered clouds,18.217,-63.0578,CeBlue
549,Tabou,CI,82.58,overcast clouds,4.423,-7.3528,hôtel le rochet
550,Lima,PE,68.25,clear sky,-12.0432,-77.0282,Hotel Peach Garden
551,Palmas Bellas,PA,82.35,light rain,9.2319,-80.0867,ISHQ AirBnb
552,Buraydah,SA,73.85,few clouds,26.326,43.975,دنا للوحدات السكنية
554,Tupaciguara,BR,85.28,overcast clouds,-18.5922,-48.705,Macauba
556,Baleshwar,IN,71.51,clear sky,21.4942,86.9317,Dropadi
559,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
